text,category,source,doc_id,processed_text,cluster,predicted_category
"Life-extending prostate cancer drug to be offered to thousands in England. Abiraterone will be available in a matter of weeks and will be offered to 7,000 men a year.",Health,BBC News,0,lifeextend prostat cancer drug offer thousand england abirateron avail matter week offer men year,0,Health
"Hospital violated trans complaint nurses' dignity, tribunal rules. A judge says the hospital chiefs' changing room policy created a ""hostile"" environment for women.",Health,BBC News,1,hospital violat tran complaint nurs digniti tribun rule judg say hospital chief chang room polici creat hostil environ women,0,Health
Hospitals with unsafe concrete expected to miss rebuild deadline. Seven hospitals with Raac that were prioritised last year are not expected to be completed on time - some not until 2032/33.,Health,BBC News,2,hospit unsaf concret expect miss rebuild deadlin seven hospit raac prioritis last year expect complet time,2,Business
"I didn't give up, I let go.  How I came to terms with not having children.  After a decade of trying for a baby, Caroline and her husband decided they needed to build a different future.",Health,BBC News,3,didnt give let came term children decad tri baby carolin husband decid need build differ futur,2,Business
"Letby trust pays £1. 4m damages to ex CEO.  Dr Susan Gilby told the BBC she was relieved the case was over and that it ""was never about the money.",Health,BBC News,4,letbi trust pay damag ceo susan gilbi told bbc reliev case never money,0,Health
Babies in Midlands and North 'more likely to die around birth'. A study found the 10 consistently worst-performing centres were all in the Midlands and North of England.,Health,BBC News,5,babies midlands north like die around birth study found consist worstperform centr midlands north england,0,Health
One in 10 patients spent over 12 hours in A&E in 2025. Nurses union says long waits and corridor care having a devastating impact on paitents.,Health,BBC News,6,one patient spent hour nurs union say long wait corridor care devast impact paitent,0,Health
First leukaemia patient to get new form of treatment on NHS says it is 'very sci-fi'. Oscar Murphy has an aggressive form of the blood cancer and is the first to get CAR-T therapy in the UK.,Health,BBC News,7,first leukaemia patient get new form treatment nhs say scifi oscar murphi aggress form blood cancer first get cart therapy,0,Health
"Safe spaces needed for drug-addicted children, say grieving mums. More children in England are in drug and alcohol treatment, but families say many cannot get help.",Health,BBC News,8,safe space need drugaddict children say griev mum children england drug alcohol treatment famili say mani cannot get help,0,Health
Hospital alert after fake doctor-endorsed videos. Guy's and St Thomas' NHS Trust says online videos falsely show clinicians promoting weight loss patches.,Health,BBC News,9,hospital alert fake doctorendors video guy thoma nhs trust say onlin video fals show clinician promot weight loss patch,0,Health
